City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Pressure,Country,Date
0,Al Hazm,16.1641,44.7769,71.73,26,5,2.44,1015,YE,1732650187
1,Blackmans Bay,-43.0167,147.3167,60.93,94,100,4.25,1005,AU,1732650188
2,Albany,42.6001,-73.9662,46.63,79,97,1.01,1010,US,1732649848
3,Enewetak,11.3474,162.3373,82.62,83,98,20.58,1010,MH,1732650190
4,Urengoy,65.9667,78.3667,25.77,91,100,15.12,1009,RU,1732650191
5,Utrik,11.2278,169.8474,83.08,80,98,20.85,1011,MH,1732650192
6,Grytviken,-54.2811,-36.5092,35.67,63,100,12.91,989,GS,1732650193
7,Port-aux-Français,-49.35,70.2167,37.85,78,92,32.08,995,TF,1732650194
8,Bredasdorp,-34.5322,20.0403,60.71,68,96,18.07,1014,ZA,1732650195
9,Whitehorse,60.7161,-135.0538,13.1,92,75,4.61,1020,CA,1732649941
10,Iqaluit,63.7506,-68.5145,11.93,62,75,2.3,1030,CA,1732650198
11,Huarmey,-10.0681,-78.1522,71.31,74,99,9.6,1012,PE,1732650199
12,Concepción,-36.827,-73.0498,64.2,55,40,14.97,1018,CL,1732650102
13,Papatowai,-46.5619,169.4708,52.2,97,100,7.07,1019,NZ,1732650201
14,Waitangi,-43.9535,-176.5597,57.81,82,100,8.01,1020,NZ,1732650202
15,Thompson,55.7435,-97.8558,15.96,92,75,3.44,1024,CA,1732650203
16,Virār,19.4667,72.8,73.09,38,77,5.32,1011,IN,1732650204
17,Tazovsky,67.4667,78.7,28.31,88,100,17.49,1004,RU,1732650205
18,Vorgashor,67.5833,63.95,30.13,97,100,19.15,1001,RU,1732650206
19,Yellowknife,62.456,-114.3525,14.41,96,100,10.36,1010,CA,1732650207
20,Örnsköldsvik,63.2909,18.7153,32.95,93,66,5.75,1005,SE,1732650208
21,Ballitoville,-29.539,31.2144,73.54,88,75,13.8,1008,ZA,1732650209
22,Amarante do Maranhão,-5.5667,-46.7422,84.06,62,99,2.91,1009,BR,1732650210
23,Smithers,54.7804,-127.1743,10.72,85,40,2.3,1024,CA,1732650099
24,Szczytno,53.5626,20.9875,40.93,100,75,3.44,1019,PL,1732650212
25,Hamilton,39.1834,-84.5333,49.86,53,0,9.22,1021,US,1732650020
26,Kachkanar,58.7,59.4948,23.68,79,3,5.86,1030,RU,1732650214
27,Kasama,-10.2129,31.1808,64.78,90,94,1.66,1014,ZM,1732650216
28,Adamstown,-25.066,-130.1015,72.66,81,57,19.84,1024,PN,1732650217
29,Talara,-4.5772,-81.2719,79.56,57,0,18.41,1011,PE,1732650218
30,Iskateley,67.6803,53.1512,36.5,100,100,27.38,996,RU,1732650219
31,Maumere,-8.6199,122.2111,80.17,80,100,2.39,1006,ID,1732650220
32,Anloga,5.7947,0.8973,82.26,76,2,11.56,1013,GH,1732650221
33,Avarua,-21.2078,-159.775,77.05,73,100,2.3,1016,CK,1732650223
34,Touros,-5.1989,-35.4608,79.43,71,12,12.73,1012,BR,1732650224
35,El Granada,37.5027,-122.4694,56.68,95,20,6.91,1020,US,1732650225
36,Prieska,-29.6641,22.7474,64.56,26,5,20.83,1010,ZA,1732650226
37,Margaret River,-33.95,115.0667,48.51,84,17,6.91,1021,AU,1732650227
38,Stanley,54.868,-1.6985,32.02,93,20,2.3,1016,GB,1732649651
39,Uturoa,-16.7333,-151.4333,80.26,81,78,12.53,1014,PF,1732650230
40,Terrace,54.5163,-128.6035,19.31,73,20,4.61,1024,CA,1732650231
41,Hadibu,12.65,54.0333,78.13,70,43,10.02,1014,YE,1732650233
42,Edinburgh of the Seven Seas,-37.0676,-12.3116,60.94,97,100,28.63,1010,SH,1732650234
43,Alotau,-10.3069,150.4462,78.4,91,19,2.95,1009,PG,1732650235
44,Anadyr,64.75,177.4833,21.7,79,100,11.18,1034,RU,1732650236
45,Longboat Key,27.4125,-82.659,80.1,53,0,10.36,1019,US,1732650237
46,Hermanus,-34.4187,19.2345,58.8,73,63,20.69,1015,ZA,1732650238
47,Chonchi,-42.6128,-73.8092,57.9,61,72,3.53,1015,CL,1732650240
48,George Town,5.4112,100.3354,80.53,87,20,5.99,1007,MY,1732650241
49,Afaahiti,-17.75,-149.2833,77.7,84,91,15.21,1015,PF,1732650242
50,Waddān,29.1614,16.139,58.03,53,0,4.79,1027,LY,1732650243
51,Hawaiian Paradise Park,19.5933,-154.9731,78.89,76,20,1.99,1017,US,1732650244
52,Saint Paul Harbor,57.79,-152.4072,26.11,80,0,3.44,1019,US,1732650245
53,Puerto Natales,-51.7236,-72.4875,66.65,32,0,6.91,1012,CL,1732650246
54,Ribeira Grande,38.5167,-28.7,69.78,94,40,21.0,1005,PT,1732650247
55,San Antonio de Palé,-1.4014,5.6325,79.09,81,92,12.91,1014,GQ,1732650248
56,Longyearbyen,78.2186,15.6401,13.84,73,100,12.66,993,SJ,1732650249
57,Port Mathurin,-19.6833,63.4167,76.08,79,55,21.07,1015,MU,1732650250
58,Merizo Village,13.2658,144.6691,81.37,85,33,21.09,1010,GU,1732650252
